contig00279	12717	24.09
contig00280	12695	29.84
contig00281	12687	26.45
contig00282	12675	25.83
contig00283	12620	27.52
contig00284	12589	29.13
contig00285	12580	26.90
contig00286	12582	28.58
contig00287	12550	25.26
contig00288	12527	26.93
contig00289	12502	28.66
contig00290	12492	29.76
contig00291	12399	26.95
contig00292	12352	24.51
contig00293	12350	28.02
contig00294	12335	27.88
contig00295	12300	29.17
contig00296	12299	28.93
contig00297	12267	24.97
contig00298	12265	26.04
contig00299	12264	27.14
contig00300	12262	27.94
contig00301	12236	25.92
contig00302	12224	25.48
contig00303	12186	25.22
contig00304	12183	26.55
contig00305	12173	28.74
contig00306	12163	23.42
contig00307	12160	26.14
contig00308	12136	23.05
contig00309	12118	22.14
contig00310	12120	23.00
contig00311	12064	25.27
contig00312	12035	26.16
contig00313	12035	27.42
contig00314	12036	28.07
contig00315	12027	28.58
contig00316	12014	26.39
contig00317	11935	26.05
contig00318	11917	23.86
contig00319	11914	26.64
contig00320	11897	23.31
contig00321	11882	27.55
contig00322	11849	24.11
contig00323	11830	24.38
contig00324	11825	29.51
contig00325	11826	26.29
contig00326	11803	27.86
contig00327	11798	26.91
contig00328	11740	29.24
contig00329	11732	24.47
contig00330	11726	25.73
contig00331	11710	25.23
contig00332	11664	29.96
contig00333	11650	28.91
contig00334	11652	24.27
contig00335	11641	25.97
contig00336	11633	22.44
contig00337	11628	32.06
contig00338	11612	25.63
contig00339	11608	27.15
contig00340	11595	24.85
contig00341	11566	26.97
contig00342	11554	21.98
contig00343	11554	26.05
contig00344	11538	25.39
contig00345	11513	24.60
contig00346	11471	26.61
contig00347	11460	24.54
contig00348	11463	22.70
contig00349	11448	27.43
contig00350	11411	25.10
contig00351	11386	25.73
contig00352	11371	24.28
contig00353	11338	27.47
